rna_population,0,1,2,3,4,5,6,7
0,0.4195249969924392,0.5351257852754059,0.032510387375471995,0.2594045868818514,0.414927415001035,0.5467608355031154,0.3101826120023506,0.020116579784097657
1,0.38833023687624185,0.5093155435867853,-0.01511418413063079,0.25329670789255837,0.390181819862377,0.4883380242307774,0.2976689608390409,-0.012088440787010416
2,0.40328342710018916,0.4614841993560838,0.06754762996783736,0.31348422719991226,0.5264740567092872,0.4502121555163711,0.29366233183595475,0.07064594411200822
3,0.4527781428024127,0.3867419281616484,0.03891333439135401,0.32063074750915777,0.36213533899396444,0.3896828715340393,0.29357844100834557,0.08210372160716718
4,0.3383784443032681,0.33594508288694286,0.08564845838535094,0.34256167975935126,0.26341975305189835,0.3181924231844789,0.38250149723184146,0.14245119244113183
5,0.33462576927703197,0.24925248950267367,0.12150367354117296,0.4141085717464719,0.2516064446712452,0.2302543070651339,0.3326153738568449,0.23629724282304226
6,0.09504644457605606,0.01129789035447767,0.2526767864179569,0.27655586389855247,0.059120906873118925,0.006973986201118249,0.2006986567932137,0.389743938501029
7,-0.01745547217448467,-0.07145399683960173,0.39954992839238573,0.0930495951456312,-0.049473752886853996,-0.0513474447408518,0.10363204982305277,0.308452620419987
