,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol
PRKD3,553.9415941209261,-0.2709322927646412,0.12969002543589855,-2.089075793254077,0.036700900995714755,0.19141129934821854,PRKD3
DTD2,189.25141762339206,0.40362002153380605,0.19318389278439446,2.089304733000032,0.03668030061560069,0.19141129934821854,DTD2
SPTSSB,59.50231816964603,0.6520172091820323,0.3121405741198482,2.088857595718032,0.036720543946000085,0.19141129934821854,SPTSSB
CHAC1,121.73696004578949,-0.4542744299349172,0.2175002276429386,-2.0886158826494716,0.03674231430636361,0.19141129934821854,CHAC1
LMTK3,1939.6929354115985,-0.23198799725024327,0.11114951528632497,-2.0871705706735133,0.03687271870154913,0.19155939444321304,LMTK3
ABCF3,1141.7745331931694,0.21954135317902665,0.10515571413483876,2.087773878816645,0.03681823690504708,0.19155939444321304,ABCF3
TAF1C,2000.0028352631828,0.19616785297623932,0.09399269605115244,2.087054220356456,0.03688323362141583,0.19155939444321304,TAF1C
GNG10,27.48703643786042,0.9027277988043151,0.43249200872565996,2.0872704711104544,0.036863692442902156,0.19155939444321304,GNG10
IDE,1326.3548029961605,0.2839614523146762,0.1360241406829425,2.0875812990913096,0.03683562037966632,0.19155939444321304,IDE
U2AF1L4,61.43209360396853,-0.5946574433003747,0.2848359001265877,-2.087719430858593,0.03682315101646648,0.19155939444321304,U2AF1L4
NHERF1,2025.0515454429133,0.18368357829226567,0.08799539756046564,2.087422562822656,0.03684995418321723,0.19155939444321304,NHERF1
KDM5D,324.3973887913974,0.277101627977554,0.13273529806800508,2.0876257635371775,0.03683160611454954,0.19155939444321304,KDM5D
IRF9,63.0139189804732,-0.6374061213007363,0.3054645118154125,-2.0866781463828796,0.036917237999916426,0.19166293188752342,IRF9
MCPH1-DT,83.45195977965294,0.5503680373467981,0.26377997335842374,2.086466346703883,0.036936400546998226,0.19168936558162164,MCPH1-DT
NXF1,1328.524383799582,0.20627533987491312,0.09887304324510811,2.086264699707409,0.03695465240222798,0.1917110547127006,NXF1
PPP4R1L,321.84519708310523,-0.3464124254429001,0.16607548954650167,-2.085873275995393,0.03699010361252678,0.1918219191143709,PPP4R1L
KRT15,1982.9299796412308,-0.3194075545530126,0.15315518875436238,-2.0855157252640897,0.037022512255577004,0.19191692711481184,KRT15
CHD3,3560.9693861665296,-0.19372470646702505,0.09297837982545631,-2.0835457321443416,0.03720150769690075,0.19277144897484932,CHD3
ZSWIM5,117.98361158377482,-0.4688922671287088,0.22506535873667605,-2.0833604503183785,0.03721838042016435,0.19278554998627337,ZSWIM5
ICA1,409.2111775683697,0.42611581473047216,0.20463091018338345,2.082362895950574,0.03730933489114386,0.1931832266142352,ICA1
RRP15,437.19964199967393,0.3058590971651807,0.14689448981966172,2.0821686200801364,0.03732707046545502,0.19320162650109945,RRP15
SYT7,1795.1321639545479,-0.19154699102950343,0.09201429409750549,-2.081709074750118,0.03736905123234396,0.1932388749175758,SYT7
OTUD6B,503.17933696864173,0.28291103362119235,0.13590759843865968,2.0816425046969025,0.037375135926274804,0.1932388749175758,OTUD6B
CD2BP2,1308.5041051357932,0.191598797081298,0.09204293897192341,2.081624068302979,0.03737682121469663,0.1932388749175758,CD2BP2
STOML2,2317.1508898346233,-0.17082741370325757,0.08207420588728619,-2.0813776003858946,0.037399357295707474,0.19328203506806635,STOML2
SET,9790.328082768183,-0.15108122324598097,0.072605339622455,-2.0808555408128053,0.0374471306145782,0.19345554052423164,SET
EMC7,488.3311588818051,0.2535711819328581,0.12188324207260492,2.0804433621958274,0.03748488548150707,0.1935771777538176,EMC7
NTN4,81.75696891045065,0.5854652428734666,0.28145616005156543,2.080129433891956,0.03751366251268181,0.19357902439782737,NTN4
FAM111B,162.74389260427185,0.39026304811102436,0.18761384000118306,2.0801399731947465,0.037512696095964186,0.19357902439782737,FAM111B
PITPNB,1576.316596798666,0.21325273086240995,0.10253278608518322,2.07984917804966,0.03753936875387055,0.19363832659370636,PITPNB
FAM216A,181.08579042419456,-0.45983302337928145,0.2211224625942288,-2.0795400792143806,0.03756773797707145,0.19371131508767767,FAM216A
TRIM11,1096.4948462969962,0.1925136549585223,0.09262323691749445,2.0784595892497983,0.03766704919569492,0.19386602281551546,TRIM11
UBE2L6,211.5575219880816,0.39393967278194214,0.1895130803975075,2.0786938397900863,0.03764549955154933,0.19386602281551546,UBE2L6
TRIT1,738.5709705417756,-0.23058744243059795,0.11094257956477882,-2.0784395255201282,0.03766889542631355,0.19386602281551546,TRIT1
ELF2,662.7986096712963,-0.296118078945694,0.1424357678538762,-2.0789587012265014,0.037621146525049706,0.19386602281551546,ELF2
UTP6,889.2670609408254,0.2029372926403939,0.09763131505681034,2.078608615712156,0.03765333844108735,0.19386602281551546,UTP6
FTH1P8,194.46567329258448,0.4879563659909442,0.2348156728431806,2.078040022127574,0.037705673088234345,0.19398201830854095,FTH1P8
USP2,186.03209561294872,-0.4438179696232248,0.21362240845602914,-2.077581527288968,0.03774791905563747,0.19410902472169528,USP2
ETV6,597.5801295083827,-0.2449433245347501,0.11790503042936477,-2.0774628838376166,0.03775885748458434,0.19410902472169528,ETV6
PLA2G4C,31.814183230738028,0.8762157170751901,0.42185168171740234,2.077070579659714,0.0377950454868265,0.19422176713203979,PLA2G4C
ENSG00000254548,32.04396373458696,0.9069664114339312,0.4368387081712436,2.076204316304302,0.03787505825096138,0.19455954696562855,ENSG00000254548
FAM86HP,65.05627700946313,0.8065836148274678,0.38863297745225445,2.0754379108925742,0.03794596767666769,0.19485032704833924,FAM86HP
KMT5C,426.29676352004776,-0.2530085691442612,0.12191728303915832,-2.0752477650194847,0.037963577840670275,0.19486730253332749,KMT5C
DDX3X,6988.982330358654,0.18847568980912477,0.09085315643827269,2.0745089900886233,0.038032064700338576,0.19500747974677435,DDX3X
RHBDF1,484.6601071845251,0.2562539539245399,0.12352624466235335,2.074489956567404,0.03803383055767301,0.19500747974677435,RHBDF1
GORAB,253.478981618303,-0.36019571280342705,0.17360897510679532,-2.074752832230322,0.03800944812629076,0.19500747974677435,GORAB
QSER1,2773.927046567061,-0.18734203854511594,0.09031741709303953,-2.0742625794106524,0.038054931133407494,0.19504225990609866,QSER1
ZNF696,390.6961760644977,0.35116145194382603,0.16933271900932179,2.073795625548861,0.038098295617801405,0.19519107980492986,ZNF696
UBR2,1428.5179352287805,-0.19505629034397176,0.09407106910062751,-2.073499240614781,0.0381258417155628,0.1952587750718466,UBR2
NVL,372.33883880245895,0.2697685762243844,0.13013609969575723,2.0729726559737944,0.03817482441274769,0.19543616421452906,NVL
TCP11L1,373.191384008313,0.26727979409010516,0.12898561558867905,2.0721674496048537,0.038249827856413156,0.1955315012817146,TCP11L1
RPL32,11152.48594677155,-0.15964783320383752,0.07703411212026204,-2.0724303663629278,0.038225323896154864,0.1955315012817146,RPL32
APEH,2720.1063480306325,0.1773951743345047,0.08559273842067738,2.0725493494860516,0.03821423900300048,0.1955315012817146,APEH
TNNI3,207.388828373264,-0.3671218150695306,0.17716897085597583,-2.072156390003367,0.03825085890888713,0.1955315012817146,TNNI3
ABHD13,311.66447534120084,0.43807123864901665,0.21143837247675015,2.0718625172788214,0.03827826441195479,0.1955981980810428,ABHD13
PIH1D1,1207.772696369628,-0.19834349121555353,0.09574062305591179,-2.071675375453975,0.03829572527745484,0.19560088157453615,PIH1D1
BTBD6,763.8044011965162,0.21668284222476952,0.10459942102410585,2.0715491548928657,0.038307505838718524,0.19560088157453615,BTBD6
FEM1C,2220.2783059619464,-0.22954252857812307,0.1108178122575459,-2.071350479692337,0.03832605506008173,0.1956222735419608,FEM1C
SLC25A25-AS1,249.6529153688879,0.40123789345134697,0.19378325087575532,2.0705499140821093,0.03840087690351248,0.19585741147755542,SLC25A25-AS1
PURB,1036.0609946603302,0.2489941613751908,0.12025061894201391,2.070626858854326,0.03839368016142584,0.19585741147755542,PURB
ACSF2,550.7434171183618,0.24343719968156818,0.11764293794045416,2.0692886793152487,0.03851900533221152,0.19631878398152286,ACSF2
PAPLN,435.70689014103255,-0.3162524221381009,0.15283237344376277,-2.0692763909373646,0.03852015779069299,0.19631878398152286,PAPLN
PCOLCE-AS1,24.259547895220148,-0.9601371819778103,0.46404274427844444,-2.0690705626068127,0.03853946563953878,0.19634373238871983,PCOLCE-AS1
SNAPC5,180.48296170528988,0.3628574339434473,0.17541052534809273,2.068618363826095,0.03858191330143849,0.19648650650672767,SNAPC5
INO80,1381.812526372177,0.18723581683092755,0.09054462928977468,2.0678842941827837,0.038650904631608425,0.1966939339601608,INO80
EZH2,1449.7103080751986,-0.2474968720714358,0.11968641389467781,-2.0678777483401682,0.03865152031207153,0.1966939339601608,EZH2
FBXO9,958.030417491674,0.2815246924432067,0.13620243447450955,2.0669578596694933,0.0387381249376445,0.19699802714451137,FBXO9
ZXDA,180.62291210188036,-0.35878920543193044,0.17359640826366138,-2.066800857348355,0.0387529226722071,0.19699802714451137,ZXDA
SNX3,2214.7467586918865,-0.22704327509938674,0.10985349512065125,-2.0667824437449793,0.038754658500131434,0.19699802714451137,SNX3
GPRC5B,202.57796170139025,-0.44990687306774557,0.21770401904045913,-2.0665988393357715,0.038771970277475636,0.19701251439390174,GPRC5B
GDF15,6122.788833057796,1.5747162057001283,0.7623113956740364,2.065712535108783,0.03885563097933598,0.19736400478430055,GDF15
YPEL3,262.79795474680964,0.4022002999356512,0.19472299111477237,2.065499803762715,0.038875734084993674,0.19739251786800924,YPEL3
SNHG28,29.762467898020464,-0.882682149732451,0.4273894723135428,-2.0652875349369744,0.03889580228887549,0.19742083255639004,SNHG28
HOXA11,136.93872070479958,0.4245339923142984,0.20562067090537506,2.0646464698564544,0.03895646294533752,0.19758149467771147,HOXA11
DPP3-DT,41.133954482183384,0.7069082857893674,0.3423827721023634,2.064672475921249,0.03895400056364292,0.19758149467771147,DPP3-DT
SEMA4D,794.2501494644802,-0.2323696185064024,0.11259968309431924,-2.0636791518476807,0.03904814732492691,0.19797279903516166,SEMA4D
ENSG00000260401,48.70625253473594,-0.7770454487590611,0.37662783988641485,-2.0631651897889602,0.03909693621393675,0.19814641445032005,ENSG00000260401
B3GALT9,77.33997162404737,0.5563713653538542,0.26981796458669893,2.0620249144866665,0.03920536402921339,0.19862204320192414,B3GALT9
LNC-WAL,436.27863840948993,-0.3156438974152683,0.15310612366607504,-2.0616020434537856,0.03924563933438777,0.19875217273322107,LNC-WAL
DCAF7,4381.348339738582,-0.17204469499176606,0.08347560341984155,-2.0610176859275304,0.039301352835782954,0.1989603603425757,DCAF7
RPS25,8997.662948799283,-0.14966293918633355,0.07263259116345734,-2.0605479825099713,0.03934618371639548,0.1991133212364248,RPS25
ENSG00000248544,39.20654082246633,-0.7679936983052394,0.3727586484212623,-2.0602974647480585,0.03937011215328505,0.19916042995328712,ENSG00000248544
ZDHHC3,1278.9168820953491,0.2079379702563795,0.10095945711527841,2.0596185458777767,0.03943502183906129,0.19924833677309658,ZDHHC3
MAP4,7971.672942904993,-0.1504783207029112,0.07306071219701211,-2.0596339151080048,0.03943355142208742,0.19924833677309658,MAP4
PARP2,1027.8135128426068,-0.2989331902640875,0.14512728099782016,-2.0598001162068043,0.03941765347395696,0.19924833677309658,PARP2
FTH1P11,22.924009798067967,1.096859214535483,0.5325841926771083,2.0595038861780104,0.03944599312024088,0.19924833677309658,FTH1P11
SLC25A40,626.4679836114702,-0.24296724592860275,0.118015725802903,-2.058770085728915,0.03951626862367378,0.19951710761196026,SLC25A40
LMNB1,2480.394867571602,-0.2751431102232935,0.13365268824775753,-2.0586425445723124,0.039528493976707095,0.19951710761196026,LMNB1
ZNF778,327.3332094078691,0.2899714497393428,0.14086942778515138,2.0584413119189784,0.03954778949653346,0.19954056900417605,ZNF778
ACADM,707.2319476294833,0.22438838740172862,0.10905262496926243,2.057615646253125,0.03962704351023794,0.1998664249314963,ACADM
ARHGAP1,1389.3803888946761,0.19701369574784844,0.0957704091492783,2.0571458083755414,0.03967220246719546,0.2000201384939318,ARHGAP1
PCBP2,4587.54313105953,-0.14921996518919997,0.07258002848321164,-2.0559369885576135,0.039788590228659555,0.2005327283333441,PCBP2
TXNDC5,209.3334224562244,0.46861427585800763,0.22799763237531867,2.055347114686689,0.03984548965777003,0.20074523136383177,TXNDC5
UNC5B-AS1,49.31742503411303,0.7619855314760958,0.37081142127440914,2.054913866615259,0.03988732487419145,0.20088171044773018,UNC5B-AS1
MTOR,1896.7277038940817,0.20456781123981957,0.09957069417534861,2.0544981928072747,0.03992749811303521,0.20100972165331807,MTOR
ZNF507,1409.6421898946394,-0.20355770070757118,0.09909100356939611,-2.0542500668591392,0.03995149486762042,0.2010562299895061,ZNF507
DSE,1310.0321648177269,0.21443613645512763,0.10440322251909208,2.053922582858149,0.03998318522809613,0.2011414078147539,DSE
UMPS,650.8915394015302,0.2484662739122965,0.12103649636931096,2.052821102439773,0.04008993112733075,0.20160396151628895,UMPS
RPL21,4441.3586347809605,-0.1666057342425159,0.0812441466287287,-2.0506798477910597,0.040298134733167054,0.2025761953763597,RPL21
FAM110A,478.29338938911445,-0.2837322881440415,0.13837214487346772,-2.0505014820973986,0.040315519311587895,0.20258883053550789,FAM110A
AVPI1,537.2838114950672,0.352726552115114,0.1720329867138486,2.050342546815294,0.04033101544476898,0.2025919702817433,AVPI1
RPL29,12083.718608723468,-0.1437713980708867,0.07012926227398954,-2.050091408479147,0.04035551163869184,0.2026403004253221,RPL29
ENSG00000259605,30.58746611633623,0.8447230815403204,0.4120953312361101,2.049824439909357,0.04038156575696256,0.20269641499893185,ENSG00000259605
KCTD17,315.8708682802045,0.3030352843401298,0.14788895974811517,2.0490730670920954,0.04045497064899816,0.2029891709379552,KCTD17
RELT,595.7731527377135,0.2614094278445396,0.12758385103145214,2.0489225378539215,0.04046969010258286,0.2029891709379552,RELT
WDR1,6278.131557938043,0.18504402242373988,0.09033041762698453,2.048523933409353,0.0405086894447539,0.20311000232089893,WDR1
ISYNA1,4287.22080518358,0.18066232663360546,0.08821982711091328,2.047865344447683,0.040573195408140736,0.2033585875809791,ISYNA1
SNRPA,1955.8047234987441,-0.21038240458996535,0.10275493902024285,-2.047418903616105,0.04061697187625263,0.20342831171698147,SNRPA
MUC20P1,23.15572068128475,0.9412803921961419,0.4597198779065815,2.047508575183728,0.04060817577562056,0.20342831171698147,MUC20P1
STARD8,194.7723828579304,-0.49117496259793564,0.23995001769840882,-2.0469886491748017,0.040659199043121264,0.2035649645587802,STARD8
ARHGAP5,2155.1910166365756,-0.16561955313691662,0.08100132370151422,-2.0446524274987934,0.04088913682740392,0.20464096656859798,ARHGAP5
CD44,17687.606860645214,-0.14311386933993464,0.07003408973244755,-2.043488676538455,0.04100408717437859,0.20500653444003047,CD44
RPL28,12092.46506952372,-0.16492176163453537,0.08071709064123962,-2.0432074585982942,0.04103190572124407,0.20500653444003047,RPL28
DOC2B,78.48830925540068,0.5186480363291948,0.2538470523410326,2.043151699206707,0.04103742343228093,0.20500653444003047,DOC2B
ECPAS,3087.3373175218635,-0.18076092520507675,0.0884597513723039,-2.043425652919839,0.041010320185927186,0.20500653444003047,ECPAS
ANXA3,2707.289583243413,-0.17979969027599876,0.08798181151282286,-2.043600685009696,0.040993011560735294,0.20500653444003047,ANXA3
ACRBP,42.36019761404536,-0.7547874281586429,0.36955111720545736,-2.0424439083457235,0.04110751804473911,0.20516560619230687,ACRBP
RWDD2B,291.41531049919314,0.3440227663480319,0.16844258980516216,2.0423740025961585,0.041114446517286775,0.20516560619230687,RWDD2B
CDC25C,548.8309915085024,-0.4192001805530798,0.20524658153716382,-2.0424222289771756,0.04110966661639992,0.20516560619230687,CDC25C
PABPC1L,1894.6249669978404,0.32600091554808264,0.1596327469734865,2.0421932324589287,0.04113236752658827,0.20517987653413108,PABPC1L
H2AC6,186.87975491434608,0.47786332492216427,0.2340257980889794,2.0419258424683373,0.04115888790173837,0.20523701679552775,H2AC6
SCRN3,109.41149754637787,0.4318173050316612,0.21156125433647252,2.0410982454513515,0.04124106275767261,0.20557153236288836,SCRN3
VPS35,2842.274483275623,-0.16506576505656245,0.08088786504878225,-2.040674023934416,0.04128323896809877,0.20569741638830247,VPS35
LMNTD2,262.75068631223905,-0.37664623990989554,0.18458159943123,-2.040540558053965,0.04129651573236492,0.20569741638830247,LMNTD2
PKIB,864.5188286969964,-0.24318913588504038,0.11920881067087938,-2.0400265258618773,0.04134768382312405,0.2058017890838213,PKIB
TOLLIP,545.6675109614283,0.24985201112857425,0.12246831562343254,2.0401359311319593,0.041336788844559665,0.2058017890838213,TOLLIP
C8orf82,611.2436636658246,0.33439979965590494,0.1639603062442688,2.039516803278683,0.04139847593593892,0.20590413934841034,C8orf82
FHOD1,1155.6137246502294,-0.18637520454386333,0.09138110798007865,-2.039537587840297,0.041396403792523954,0.20590413934841034,FHOD1
CRK,2180.3705348099134,0.18675262737380235,0.09157653085182148,2.0393066393395465,0.041419433433420805,0.20593319038813565,CRK
CIAO1,1544.5638970842003,0.19394384521684685,0.09512147459479442,2.0389070506215696,0.041459305106298784,0.20595104977382242,CIAO1
SRSF3,3778.253175717267,0.1678645439848448,0.0823230562907557,2.0390951399079045,0.0414405331757882,0.20595104977382242,SRSF3
RPS20,10423.378244263075,-0.15488152811065,0.07596640216165998,-2.0388161569249394,0.041468379177097184,0.20595104977382242,RPS20
IL18BP,466.143324697983,-0.2739682963629946,0.1344346757421499,-2.0379287921850957,0.04155705468091623,0.20631623757949044,IL18BP
NOM1,1236.6743063155463,0.18295769037321935,0.08978525466425608,2.0377253598864677,0.04157740654118757,0.20634207989457132,NOM1
LMNA,15374.769970812305,0.1471892846670322,0.0722526658875234,2.0371467662683003,0.04163533658830409,0.20655433005916482,LMNA
NMI,150.13012377647388,0.3998233482606644,0.19634433914241786,2.0363375384642666,0.04171647284316887,0.20688151057243886,NMI
ENSG00000262879,166.359006354586,0.3888722237233008,0.19099044531795215,2.0360820829331234,0.04174211356559508,0.20693333810192932,ENSG00000262879
RCBTB1,631.3357087350685,0.3285979161091747,0.16148739105650625,2.034820885763116,0.041868898746695,0.20748636145006402,RCBTB1
FBXO21,1407.6892133774488,-0.17868941735581467,0.08783734240150422,-2.0343217641880136,0.041919164205889786,0.2076160988397526,FBXO21
PFKP,9926.230989365007,-0.4389983851730826,0.2158187180032627,-2.0341070933729015,0.04194079894347788,0.2076160988397526,PFKP
DYSF,68.2955974567205,-0.6990733724725797,0.3436735490236832,-2.034120386798826,0.04193945894441421,0.2076160988397526,DYSF
PHB2,4717.9286519153075,-0.1560457443141276,0.07675642087081984,-2.0329992272144994,0.04205260107702808,0.20809392825003759,PHB2
RPL7A,22102.236036039234,-0.1519506999218098,0.07476512799179037,-2.032373969031322,0.042115811294237804,0.20833104475722644,RPL7A
LENG8,9146.277173486045,0.15088727293907966,0.07425111703993971,2.032121252235402,0.042141382398091766,0.2083818702029779,LENG8
C1S,75.34823143203164,-0.6316625455545125,0.3109495616642326,-2.03139873288064,0.042214562868666275,0.20859230684071114,C1S
QTRT1,731.8130049889386,0.26231061388678656,0.12912409146559684,2.03146144851424,0.042208206448846444,0.20859230684071114,QTRT1
CCDC88A,686.3100446883968,-0.38584137527768203,0.19001639804944015,-2.030568831103147,0.042298752227119304,0.20893252414432426,CCDC88A
PPP1R12C,1277.639982022379,0.20533689877479447,0.10116246399553397,2.0297736004518385,0.04237955759091468,0.20894888484938665,PPP1R12C
NSUN5P1,698.4810119715197,0.25313636112563376,0.12469471203802031,2.0300488848993905,0.04235157048927086,0.20894888484938665,NSUN5P1
COQ10B,597.8468274435745,0.3429282547799774,0.16896091256993853,2.0296306972065388,0.042394092176738216,0.20894888484938665,COQ10B
MTLN,151.49277734558575,-0.3956037570968736,0.19486043863720712,-2.030190221594503,0.042337207411039426,0.20894888484938665,MTLN
NR6A1,362.77584960555373,-0.3278906774220511,0.16152685503083417,-2.029945282841416,0.0423621014732041,0.20894888484938665,NR6A1
HBE1,1992.3977836052372,-0.18968493626669447,0.09344942024383279,-2.029813943968398,0.04237545504403731,0.20894888484938665,HBE1
AGFG1,1500.4459899791225,0.23619778341867706,0.11643560292855956,2.028570106375444,0.042502095931499846,0.20940544407769346,AGFG1
EIF2B4,679.5497977269948,0.24241935919143065,0.11954207410193594,2.0278998922564684,0.042570466150924996,0.2096664715741328,EIF2B4
ARPC1A,3335.21111688292,-0.16510689733082579,0.08142566868686532,-2.027700846593833,0.042590789201583094,0.20969075579803634,ARPC1A
NMT2,662.4171010700849,0.2521529286795787,0.12439772037686743,2.0269899473693913,0.042663440750895815,0.2098209578878894,NMT2
MLXIP,3373.427406288647,0.15826688134291905,0.07807005094050372,2.0272419376738005,0.04263767619498284,0.2098209578878894,MLXIP
GFM1,548.9649861442497,0.28156330499131527,0.1389025773216692,2.027056015953353,0.04265668434607565,0.2098209578878894,GFM1
GAREM2,396.8077206579901,0.2585849991172323,0.1275830427887922,2.0267975544783625,0.04268312067631645,0.20984198952488597,GAREM2
TECR,2558.896474268553,-0.1771831948476578,0.08744645168763776,-2.02619078794144,0.04274523728980732,0.2098444567924487,TECR
RHBDD2,728.02984344647,0.2434451955111742,0.12012716261182156,2.0265624378213447,0.04270718125001914,0.2098444567924487,RHBDD2
RBMX,4724.180262274797,-0.1442232496294786,0.07117852859390168,-2.0262184745672744,0.04274240125886736,0.2098444567924487,RBMX
RAC3,1286.5852743585683,-0.2865417741975141,0.1414065895222873,-2.0263679024120145,0.04272709762604129,0.2098444567924487,RAC3
APRG1,45.60951554120012,-0.7323262965287803,0.3616120978589182,-2.0251708968390076,0.04284981897917936,0.21028209076129697,APRG1
SMC2,896.6206396386075,-0.2589744046255084,0.12789066526012194,-2.024967217887013,0.042870730522084254,0.21030895279162903,SMC2
ZNF672,644.2594186991347,0.2670405901171484,0.13191579111531512,2.024326184601455,0.04293660117080535,0.21055626988836615,ZNF672
ARAP2,646.400693165458,0.26415447973182415,0.13050397361280078,2.024110626053105,0.04295877053037235,0.21058917989753959,ARAP2
GCLC,2346.696049034045,-0.19548444626318434,0.09659467756793304,-2.023760016442978,0.042994850034577044,0.21069023094282124,GCLC
NFKBIL1,393.59125337415026,-0.2596889120301462,0.1283742022600394,-2.022905750986565,0.043082865517970054,0.21104562278004532,NFKBIL1
NARF,2142.434840686538,-0.27762847276385105,0.13729334373985014,-2.0221553733144884,0.04316030296110103,0.2111212952384486,NARF
UPK1A-AS1,118.87777127047947,-1.4030955784182633,0.6938200498901564,-2.0222759181439005,0.04314785505651538,0.2111212952384486,UPK1A-AS1
MUS81,708.6033574635898,0.2659886047486306,0.13151890444960887,2.0224362867206174,0.04313129950774726,0.2111212952384486,MUS81
PLEKHM1P1,833.9290380725797,0.26208285336660764,0.1295962944185031,2.022302061510092,0.04314515579629325,0.2111212952384486,PLEKHM1P1
NCOA6,1601.529790216292,-0.19500231724538064,0.09646462869695117,-2.0214903626280565,0.04322902898688596,0.2113305187069434,NCOA6
SUGT1,1691.5327817479695,-0.17683004052552867,0.08747720680278694,-2.021441321556863,0.04323410083214058,0.2113305187069434,SUGT1
JAK3,410.73066256080546,-0.2679278429412143,0.13257937553382665,-2.0208862944361545,0.0432915369936416,0.21153536888966268,JAK3
CDC42EP4,1901.7125352944731,-0.1801271376207114,0.08914822334820639,-2.0205353607233207,0.04332788610991674,0.21156121594100205,CDC42EP4
SEMA4F,443.0046762623735,-0.2654633213322841,0.13137703626574404,-2.020621935749227,0.04331891642094685,0.21156121594100205,SEMA4F
MIR23AHG,219.61094505931473,-0.35738957781610703,0.1769140001391037,-2.0201316884763174,0.04336972968120191,0.21168965512254162,MIR23AHG
HYCC1,695.5299566199966,0.2131002293979078,0.10551634024232345,2.0195945851468378,0.04342545728669992,0.21173407466596744,HYCC1
PREP,1380.0538640950097,-0.2015032587593442,0.09976480846797375,-2.0197829460478567,0.04340590686012614,0.21173407466596744,PREP
COPG2,445.23676390795316,-0.2671390246174715,0.13226773138580614,-2.01968402889035,0.04341617278016701,0.21173407466596744,COPG2
SENP6,1964.0755002763826,0.231233215002602,0.1145316095884994,2.0189466980635284,0.04349275983940507,0.21191053908877516,SENP6
MAML2,212.09237580360627,-0.38963519559099735,0.19298677694530247,-2.018973536728012,0.043489970088746735,0.21191053908877516,MAML2
ST6GAL1,443.1172905408982,-0.2466445145500409,0.12217757381945626,-2.018738028916104,0.04351445515529417,0.21193559939933915,ST6GAL1
ZFHX4,1003.1587522592575,-0.23595498182114105,0.11689052510269209,-2.0185980139437905,0.04352901762602591,0.21193559939933915,ZFHX4
PELI1,187.62782158991521,-0.35322862720147646,0.17500998841479157,-2.0183340985332134,0.04355647774364185,0.21199353208347016,PELI1
ARPC4,871.3207628737815,0.21737945846341974,0.10772326604069639,2.0179434439102204,0.043597151800656334,0.21211571392155043,ARPC4
PAPOLA,5844.958266319878,-0.16221839337502936,0.08041007248754309,-2.017388970768056,0.04365493734196751,0.21232103227762347,PAPOLA
PTPRJ,893.3542806396334,-0.21738650875482973,0.10777985007773222,-2.0169494446136986,0.043700789400304044,0.21241085973451296,PTPRJ
SERPINB8,149.58028118661767,0.5762323742906105,0.2857514750584224,2.0165508303073456,0.04374240863395623,0.21241085973451296,SERPINB8
GSK3B,2698.8379428018193,-0.16915542428913602,0.08388710849155916,-2.0164650722960213,0.043751366983413593,0.21241085973451296,GSK3B
COX8A,1323.6101255635222,-0.19375258915067067,0.0960850082230783,-2.016470547630488,0.04375079497936134,0.21241085973451296,COX8A
EPHX1,876.0590117467808,0.3513086532153884,0.17420823968871682,2.016601820000722,0.04373708294474936,0.21241085973451296,EPHX1
MCRS1,1244.871401679156,0.18359121614409107,0.09107550856835102,2.0158132414523733,0.04381950840247436,0.21262954276596394,MCRS1
ZYG11B,1245.1990997682005,-0.21407672489686363,0.10620277801212982,-2.015735641796612,0.043827626520357245,0.21262954276596394,ZYG11B
PPIF,1095.4055996904403,0.2082669152169596,0.10333859547328468,2.015383645027392,0.04386446674548378,0.2127325135185922,PPIF
RFX1,668.4781129308468,-0.27406932763101516,0.13608078270334856,-2.014019336062146,0.044007503434437316,0.21304698624283566,RFX1
AUH,488.72098333937606,-0.27413116669724363,0.1361038954280927,-2.014131673711532,0.04399571088837722,0.21304698624283566,AUH
SURF4,4412.69311006548,0.24536120272720904,0.12180830372929347,2.0143224658353285,0.04397568876590306,0.21304698624283566,SURF4
SLC26A6,1384.1686620325247,-0.2217310261963134,0.1100834300365809,-2.0142089152076004,0.043987604078070446,0.21304698624283566,SLC26A6
NFKBID,167.20675409497744,0.3464654308487841,0.1720003570300808,2.014329719026057,0.043974927752785074,0.21304698624283566,NFKBID
TUBGCP6,1652.4037040769588,0.20957870890972297,0.10409242930924266,2.0133905059233146,0.04407356361240253,0.21329099719067837,TUBGCP6
CAMK2N1,870.2771009769589,0.27004195185495056,0.13423987842294052,2.0116373392722213,0.044258180322822104,0.21394376062648698,CAMK2N1
CDK5RAP2,1856.0578687192258,-0.2132016547266798,0.10598100932188229,-2.0116967755907122,0.04425191072672181,0.21394376062648698,CDK5RAP2
SLC19A2,395.81904866309674,0.2864975167559673,0.14242884496329142,2.0115133056777026,0.04427126632944776,0.21394376062648698,SLC19A2
ERCC2,1241.9075007381134,0.23856617367914998,0.1185913249825729,2.01166631466684,0.044255123781103925,0.21394376062648698,ERCC2
MAZ,3486.0629263046517,-0.17565519048218817,0.08734036358979413,-2.0111570786123196,0.0443088677709511,0.2140495410083925,MAZ
GNA13,2500.2719011522777,-0.21314319041142646,0.10603194259640557,-2.0101790572933624,0.044412241121498455,0.2144728680603238,GNA13
ILF3-DT,200.03255946745583,-0.3374211669579932,0.16788768597500386,-2.009802952482355,0.044452048194202495,0.21458903350447223,ILF3-DT
