rna_population,0,1,2,3,4,5,6,7
0,0.416530417862,0.531693071951,0.0271438372289,0.254692260881,0.412021102588,0.544438580958,0.303671153613,0.0193504331653
1,0.387829426142,0.508649459345,-0.0178091010007,0.250971911748,0.388121329121,0.487461941485,0.295092575624,-0.00944272828747
2,0.400220035663,0.455525934686,0.0645915135168,0.312594635679,0.522860337232,0.4454304618,0.291655626161,0.0741120749916
3,0.466819097858,0.393364096992,0.044662015746,0.333799473973,0.370874247152,0.396991121802,0.304637904972,0.0957832373363
4,0.347032677519,0.338607802315,0.0959417415562,0.350184774248,0.272935581487,0.322973555667,0.390999838729,0.155313667396
5,0.351312958231,0.256891353519,0.131090205596,0.427851325667,0.26616563451,0.239251847233,0.344989994501,0.248885922716
6,0.119289295393,0.0273394798977,0.269130356342,0.295651347606,0.0833758664848,0.0243232950378,0.219418545031,0.402316217225
7,-0.0132616074315,-0.0714185713761,0.399565229081,0.0964151108886,-0.0438476964752,-0.0496638959031,0.107194170862,0.308596347072
