Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Reactome_2022.gmt,Integrin Signaling R-HSA-354192,1/27,0.09813475000897415,0.32255151461518594,14.936947695247193,34.674835683118516,RAPGEF4
Reactome_2022.gmt,Interleukin Receptor SHC Signaling R-HSA-912526,1/27,0.09813475000897415,0.32255151461518594,14.936947695247193,34.674835683118516,PIK3R3
Reactome_2022.gmt,Synthesis Of PC R-HSA-1483191,1/27,0.09813475000897415,0.32255151461518594,14.936947695247193,34.674835683118516,SH2D3C
Reactome_2022.gmt,Extracellular Matrix Organization R-HSA-1474244,3/291,0.09862186597946332,0.32255151461518594,3.2873714615829,7.615071982762103,THBS1;LOXL4;COL17A1
Reactome_2022.gmt,Diseases Of Glycosylation R-HSA-3781865,2/143,0.10296788444567466,0.32803439999421136,4.730622734156303,10.754305091628975,THBS1;MUC19
Reactome_2022.gmt,Dectin-2 Family R-HSA-5621480,1/29,0.10501820719239141,0.32803439999421136,13.886075949367088,31.293959893684402,MUC19
Reactome_2022.gmt,FCERI Mediated MAPK Activation R-HSA-2871796,1/29,0.10501820719239141,0.32803439999421136,13.886075949367088,31.293959893684402,FOS
Reactome_2022.gmt,Interaction Between L1 And Ankyrins R-HSA-445095,1/29,0.10501820719239141,0.32803439999421136,13.886075949367088,31.293959893684402,ANK1
Reactome_2022.gmt,MAPK Targets/ Nuclear Events Mediated By MAP Kinases R-HSA-450282,1/30,0.10844069970790798,0.33183527855673284,13.41407423299721,29.80006078291374,FOS
Reactome_2022.gmt,Developmental Biology R-HSA-1266738,7/1073,0.10862233938367874,0.33183527855673284,1.9697923882696224,4.3726991601443554,PIK3R3;KRT7;CEBPD;KLK5;SEMA7A;ANK1;CDKN1A
Reactome_2022.gmt,Antigen Activates B Cell Receptor Leading To Second Messenger Generation R-HSA-983695,1/31,0.11185043027600095,0.3379828219209594,12.97302344884831,28.418611036751628,CD22
Reactome_2022.gmt,GPVI-mediated Activation Cascade R-HSA-114604,1/32,0.11524744526825183,0.34083818919759584,12.559975889089813,27.13801038280343,PIK3R3
Reactome_2022.gmt,PERK Regulates Gene Expression R-HSA-381042,1/32,0.11524744526825183,0.34083818919759584,12.559975889089813,27.13801038280343,DDIT3
Reactome_2022.gmt,Glucagon-type Ligand Receptors R-HSA-420092,1/33,0.11863179089216608,0.347154082821286,12.172346640701072,25.948165961936255,VIPR1
Reactome_2022.gmt,CD28 Co-Stimulation R-HSA-389356,1/34,0.1220035131917369,0.3496595532711635,11.807859436992254,24.840258108857302,PIK3R3
Reactome_2022.gmt,Metabolic Disorders Of Biological Oxidation Enzymes R-HSA-5579029,1/34,0.1220035131917369,0.3496595532711635,11.807859436992254,24.840258108857302,CYP1B1
Reactome_2022.gmt,Nucleotide Catabolism R-HSA-8956319,1/35,0.12536265804800956,0.35079585674451286,11.464501926252064,23.806548166152098,GDA
Reactome_2022.gmt,Aberrant Regulation Of Mitotic Cell Cycle Due To RB1 Defects R-HSA-9687139,1/36,0.1287092711796414,0.35079585674451286,11.140488500623997,22.840219829935695,CDKN1A
Reactome_2022.gmt,Platelet Aggregation (Plug Formation) R-HSA-76009,1/36,0.1287092711796414,0.35079585674451286,11.140488500623997,22.840219829935695,RAPGEF4
Reactome_2022.gmt,ROS And RNS Production In Phagocytes R-HSA-1222556,1/36,0.1287092711796414,0.35079585674451286,11.140488500623997,22.840219829935695,NANOS1
Reactome_2022.gmt,Transcriptional Regulation By AP-2 (TFAP2) Family Of Transcription Factors R-HSA-8864260,1/36,0.1287092711796414,0.35079585674451286,11.140488500623997,22.840219829935695,CDKN1A
Reactome_2022.gmt,Cellular Senescence R-HSA-2559583,2/165,0.13036758052716102,0.35186589695680354,4.085348901862663,8.323478724118905,FOS;CDKN1A
Reactome_2022.gmt,Defective B3GALTL Causes PpS R-HSA-5083635,1/37,0.13204339814346175,0.35296216042194584,10.834229235304317,21.935247428541683,THBS1
Reactome_2022.gmt,Diseases Of Mitotic Cell Cycle R-HSA-9675126,1/38,0.13536508433502914,0.3550140891050764,10.544303797468354,21.086285973881743,CDKN1A
Reactome_2022.gmt,O-glycosylation Of TSR Domain-Containing Proteins R-HSA-5173214,1/38,0.13536508433502914,0.3550140891050764,10.544303797468354,21.086285973881743,THBS1
Reactome_2022.gmt,Elastic Fibre Formation R-HSA-1566948,1/39,0.13867437498918644,0.35556779838027985,10.269439421338156,20.288578920932387,LOXL4
Reactome_2022.gmt,NGF-stimulated Transcription R-HSA-9031628,1/39,0.13867437498918644,0.35556779838027985,10.269439421338156,20.288578920932387,FOS
Reactome_2022.gmt,Fatty Acid Metabolism R-HSA-8978868,2/173,0.14072281526402197,0.35556779838027985,3.8917496497671427,7.631577740222698,CYP1B1;CYP1A1
Reactome_2022.gmt,Collagen Degradation R-HSA-1442490,1/40,0.14197131518061534,0.35556779838027985,10.008492228809486,19.537880412299216,COL17A1
Reactome_2022.gmt,RET Signaling R-HSA-8853659,1/40,0.14197131518061534,0.35556779838027985,10.008492228809486,19.537880412299216,PIK3R3
Reactome_2022.gmt,Non-integrin membrane-ECM Interactions R-HSA-3000171,1/41,0.14525594982438747,0.3559558101902679,9.760431317393342,18.830389435778294,THBS1
Reactome_2022.gmt,Signaling By Retinoic Acid R-HSA-5362517,1/41,0.14525594982438747,0.3559558101902679,9.760431317393342,18.830389435778294,ALDH1A3
Reactome_2022.gmt,Glucagon-like Peptide-1 (GLP1) Regulates Insulin Secretion R-HSA-381676,1/42,0.14852832367651467,0.3559558101902679,9.52432514869605,18.16269382993403,RAPGEF4
Reactome_2022.gmt,Signaling By SCF-KIT R-HSA-1433557,1/42,0.14852832367651467,0.3559558101902679,9.52432514869605,18.16269382993403,PIK3R3
Reactome_2022.gmt,Vasopressin Regulates Renal Water Homeostasis Via Aquaporins R-HSA-432040,1/42,0.14852832367651467,0.3559558101902679,9.52432514869605,18.16269382993403,AQP3
Reactome_2022.gmt,Smooth Muscle Contraction R-HSA-445355,1/43,0.15178848133449682,0.35619948671179724,9.299329858525688,17.531722470354136,ACTA2
Reactome_2022.gmt,Collagen Chain Trimerization R-HSA-8948216,1/44,0.1550364672378686,0.35619948671179724,9.084679179397643,16.93470428300531,COL17A1
Reactome_2022.gmt,Interleukin-2 Family Signaling R-HSA-451927,1/44,0.1550364672378686,0.35619948671179724,9.084679179397643,16.93470428300531,PIK3R3
Reactome_2022.gmt,"Interleukin-3, Interleukin-5 And GM-CSF Signaling R-HSA-512988",1/44,0.1550364672378686,0.35619948671179724,9.084679179397643,16.93470428300531,PIK3R3
Reactome_2022.gmt,Sphingolipid De Novo Biosynthesis R-HSA-1660661,1/44,0.1550364672378686,0.35619948671179724,9.084679179397643,16.93470428300531,ACER2
Reactome_2022.gmt,Heme Signaling R-HSA-9707616,1/45,0.15827232566874305,0.3577211913488664,8.879675721803443,16.369132980166604,NR1D1
Reactome_2022.gmt,Interleukin-10 Signaling R-HSA-6783783,1/45,0.15827232566874305,0.3577211913488664,8.879675721803443,16.369132980166604,PTAFR
Reactome_2022.gmt,ESR-mediated Signaling R-HSA-8939211,2/188,0.16059848140206973,0.35945312273104446,3.5735176351798335,6.535420341681436,PIK3R3;FOS
