Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
ESR-mediated Signaling R-HSA-8939211,2/188,0.14803610849747595,0.3392494153067157,3.7700613316684417,7.201944612905477,PIK3R3;FOS
Interleukin-10 Signaling R-HSA-6783783,1/45,0.150976251638029,0.3403153213152293,9.35505617977528,17.686975390031353,PTAFR
Heme Signaling R-HSA-9707616,1/45,0.150976251638029,0.3403153213152293,9.35505617977528,17.686975390031353,NR1D1
Hemostasis R-HSA-109582,4/576,0.1535596638289085,0.3433244516499987,2.250882855515474,4.217402897029612,PIK3R3;RAPGEF4;NANOS1;THBS1
Cyclin D Associated Events In G1 R-HSA-69231,1/47,0.15714357220666564,0.34791811343060425,8.950967741935484,16.564619897547264,CDKN1A
Muscle Contraction R-HSA-397014,2/196,0.158144597013911,0.34791811343060425,3.612177342677043,6.661741785935741,ACTA2;NANOS1
Inositol Phosphate Metabolism R-HSA-1483249,1/48,0.16021085282878264,0.3496665438723431,8.761684210526315,16.04496126497496,PLCE1
TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,1/49,0.16326726386149087,0.35181562897066565,8.580206185567011,15.550480530581176,CDKN1A
Ion Homeostasis R-HSA-5578775,1/50,0.16631284278613284,0.35181562897066565,8.406060606060606,15.079503249155575,NANOS1
Aquaporin-mediated Transport R-HSA-445717,1/50,0.16631284278613284,0.35181562897066565,8.406060606060606,15.079503249155575,AQP3
Neurotransmitter Release Cycle R-HSA-112310,1/50,0.16631284278613284,0.35181562897066565,8.406060606060606,15.079503249155575,SH2D3C
Synthesis Of PIPs At Plasma Membrane R-HSA-1660499,1/51,0.16934762695838376,0.3535250329317438,8.238811881188118,14.63049624727132,PIK3R3
Transcriptional Activation Of Mitochondrial Biogenesis R-HSA-2151201,1/52,0.17237165360865994,0.3535250329317438,8.078058252427185,14.20205324949539,NR1D1
Signaling By PDGF R-HSA-186797,1/52,0.17237165360865994,0.3535250329317438,8.078058252427185,14.20205324949539,THBS1
Keratinization R-HSA-6805567,2/208,0.17354865253012877,0.3535250329317438,3.398288500447776,5.951413478391107,KRT7;KLK5
Phospholipid Metabolism R-HSA-1483257,2/208,0.17354865253012877,0.3535250329317438,3.398288500447776,5.951413478391107,PIK3R3;SH2D3C
Nuclear Receptor Transcription Pathway R-HSA-383280,1/53,0.175384959842527,0.35463870556393323,7.9234285714285715,13.79288220879613,NR1D1
G Alpha (Q) Signaling Events R-HSA-416476,2/212,0.1787401337305947,0.35878493997017186,3.3324114144405037,5.737820268976713,PIK3R3;PTAFR
Degradation Of DVL R-HSA-4641258,1/55,0.18137955886148482,0.3614447730935386,7.631192660550458,13.027693060948316,DACT1
Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,1/57,0.18733171837819895,0.3677217705206078,7.359646017699115,12.326482255860801,LOXL4
Developmental Biology R-HSA-1266738,6/1073,0.18768763828803156,0.3677217705206078,1.7582201405152225,2.9414604431824634,PIK3R3;SEMA7A;CDKN1A;KLK5;ANK1;KRT7
RNA Polymerase II Transcription R-HSA-73857,7/1312,0.19027569498817284,0.3677217705206078,1.6681256953183419,2.7678896593415026,NR1D1;FOS;DDIT3;CDKN1A;THBS1;IGFBP3;TP53I3
Transcriptional Regulation Of Granulopoiesis R-HSA-9616222,1/59,0.19324173078390222,0.3677217705206078,7.1066666666666665,11.682033772923981,CDKN1A
SCF(Skp2)-mediated Degradation Of P27/P21 R-HSA-187577,1/59,0.19324173078390222,0.3677217705206078,7.1066666666666665,11.682033772923981,CDKN1A
