Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes
Class A/1 (Rhodopsin-like Receptors) R-HSA-373076,1/327,0.7005149976713627,0.7297031225743362,1.2404900459418071,0.4415394110272426,PTAFR
Neuronal System R-HSA-112316,1/386,0.7600596087326132,0.7887411034017685,1.0445136186770427,0.28657110215561993,SH2D3C
RHO GTPase Cycle R-HSA-9012999,1/441,0.8050829066550144,0.8323225538726652,0.9091032917139614,0.19710270034315708,PIK3R3
Neutrophil Degranulation R-HSA-6798695,1/468,0.824060881291101,0.8487518440264149,0.8542887700534759,0.16531416033931062,PTAFR
"Cell Cycle, Mitotic R-HSA-69278",1/523,0.8573187066420376,0.8797113594274639,0.7601531100478469,0.1170221833808155,CDKN1A
Membrane Trafficking R-HSA-199991,1/599,0.8933903396227165,0.9133172616960857,0.658546365914787,0.07423904027559036,ANK1
Vesicle-mediated Transport R-HSA-5653656,1/637,0.9079242156667975,0.9210485049141366,0.6168421052631579,0.059583472564897384,ANK1
Signaling By Rho GTPases R-HSA-194315,1/644,0.9103823824094719,0.9210485049141366,0.6096969696969697,0.05724479435420743,PIK3R3
Cell Cycle R-HSA-1640170,1/654,0.91378352831327,0.9210485049141366,0.5997551644988524,0.054074870544774,CDKN1A
"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",1/660,0.9157635339923835,0.9210485049141366,0.5939347990902198,0.052264538898122194,PIK3R3
Metabolism Of RNA R-HSA-8953854,1/666,0.9176992376235397,0.9210485049141366,0.5882193839218632,0.050519557016972264,APOBEC3H
Infectious Disease R-HSA-5663205,1/961,0.9742232582486461,0.9742232582486461,0.39527329515877146,0.010322476602134638,VIPR1
