ensembl_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene_symbol
ENSG00000119125,2813.0565127945883,1.2768200864814108,0.08744436496262899,14.60151362557306,2.7467853472708675e-48,3.687009971641685e-44,GDA
ENSG00000063438,910.7175058371932,2.1280894139141515,0.18671082212114384,11.397782890878068,4.2890287142200464e-30,2.878581621548784e-26,AHRR
ENSG00000184254,19012.389707853727,1.6194453249936342,0.1436865347000291,11.270682589530823,1.8314452370294276e-29,8.194496472215335e-26,ALDH1A3
ENSG00000153292,5269.336118176907,0.8337676773375599,0.07950384084295872,10.487137080389276,9.898219983386524e-26,3.3215951709249325e-22,ADGRF1
ENSG00000140465,297.9167682927336,2.032891591514519,0.2003809050042151,10.1451362916629,3.482919105656528e-24,9.350244631045515e-21,CYP1A1
ENSG00000185551,2535.967829532498,0.9710183257121429,0.09926902704101893,9.781684727411587,1.3494532499484197e-22,3.018951829009606e-19,NR2F2
ENSG00000166949,6170.998591824859,0.7477075774947801,0.08372274203596895,8.930758349667407,4.2309837845534886e-19,8.113213620008783e-16,SMAD3
ENSG00000124762,9967.517839898512,1.200395423361309,0.13881627801240007,8.647367877519963,5.270086380703557e-18,8.84254618602298e-15,CDKN1A
ENSG00000186352,125.62797633520414,-1.9949584841183683,0.23168956866464926,-8.610480375169152,7.275505454185919e-18,1.0851012190170844e-14,ANKRD37
ENSG00000161513,2653.84002701271,0.7873645404238693,0.09301774123212507,8.464670610082942,2.5687763600930995e-17,3.4480685081529675e-14,FDXR
ENSG00000251095,332.8094743971289,1.335074754270374,0.1588606758829235,8.404060645280724,4.312997885063072e-17,5.26303369192742e-14,ENSG00000251095
ENSG00000177494,383.01267505891377,1.2232808978109642,0.1481459821227806,8.257266787006968,1.4904603595887172e-16,1.6672041172299458e-13,ZBED2
ENSG00000026103,490.0802362615901,1.1478724565659748,0.14149587344068718,8.112409419820604,4.962576312846985e-16,5.124050911334236e-13,FAS
ENSG00000159388,1259.5005177108924,0.7850019205401267,0.09752404369650196,8.049316771391048,8.325750122058329e-16,7.982610277742068e-13,BTG2
ENSG00000182795,1335.1597985895057,0.7895353208666175,0.09838948756069955,8.024590232564515,1.0186539185100257e-15,9.11559436544005e-13,C1orf116
ENSG00000129474,1113.051273073145,0.8764753175181245,0.11083842667860336,7.9076845800024556,2.6222017559233723e-15,2.199863385609964e-12,AJUBA
ENSG00000175197,364.9682662592126,-1.2309126986369294,0.15621262628815366,-7.87972603678244,3.2809965648466475e-15,2.5906362876433266e-12,DDIT3
ENSG00000196562,357.0836330547265,1.4577623650558846,0.1909956763924379,7.6324364644811515,2.303579928451945e-14,1.586300789160481e-11,SULF2
ENSG00000164938,1288.5965443676707,0.8636906095096857,0.11319177356425228,7.630330211403743,2.341531665710158e-14,1.586300789160481e-11,TP53INP1
ENSG00000172667,1324.0732720174221,0.9443673716384736,0.12378452189448047,7.629123231121699,2.363556267839501e-14,1.586300789160481e-11,ZMAT3
ENSG00000126368,2305.368057494698,-1.008405074980993,0.13366774497586134,-7.5441167587819935,4.5536303613253744e-14,2.910637159050976e-11,NR1D1
ENSG00000170345,309.344464737756,-1.5511089461063485,0.2116345786030784,-7.3291848446725725,2.315568256475546e-13,1.4128123957577843e-10,FOS
ENSG00000180921,4434.6035486073715,0.7028387328643875,0.0978856717457109,7.180200332999033,6.960934406832912e-13,3.919716487806796e-10,FAM83H
ENSG00000087074,1963.729632851493,-0.6454274805169041,0.08990152192953693,-7.179272015247725,7.008358467359242e-13,3.919716487806796e-10,PPP1R15A
ENSG00000169499,971.4246691389922,-0.7517908214785213,0.10525384469065045,-7.142644752674786,9.155202100168679e-13,4.915611111622567e-10,PLEKHA2
ENSG00000164543,643.7350910345665,0.7778004650484288,0.10934546689592547,7.113239232758829,1.133505463824683e-12,5.851939938814892e-10,STK17A
ENSG00000142910,3507.8772859777127,0.714126650164055,0.10067769665332994,7.093196148726502,1.3104950336714094e-12,6.515101791470862e-10,TINAGL1
ENSG00000087088,1210.583828947724,0.8123613218121031,0.11475611162464984,7.07902446598414,1.4517275670906952e-12,6.959478261806572e-10,BAX
ENSG00000185088,1150.756853857629,0.8275344982527238,0.1178613136747356,7.021256360136021,2.198819794529887e-12,1.009190768978143e-09,RPS27L
ENSG00000107796,272.52054608114577,1.1198030555299756,0.15956839794243347,7.017699431525033,2.2555109192687395e-12,1.009190768978143e-09,ACTA2
ENSG00000135932,2907.8042679598025,0.6363833062546652,0.09129676494016954,6.970491305707414,3.158360420549954e-12,1.36757006209813e-09,CAB39
ENSG00000197852,218.90099464709203,1.2766741644042918,0.18366835799860232,6.950974998175827,3.6277016638006504e-12,1.521707482287379e-09,INKA2
ENSG00000181026,1600.7844150684261,0.6088582816387742,0.09075816320797866,6.708578712016604,1.965291530020399e-11,7.758855355136417e-09,AEN
ENSG00000178038,1303.7414411174275,0.6353546155115949,0.09531720653478648,6.66568648630842,2.6343107121231093e-11,1.0102957911093856e-08,ALS2CL
ENSG00000114812,244.48469115057233,1.0436891438724047,0.1571829365979054,6.6399646581377905,3.137583746302279e-11,1.1698829618504301e-08,VIPR1
ENSG00000103044,6940.946557463759,0.8125650519209516,0.12245129469107782,6.635822462889464,3.226980636411748e-11,1.1706962454744566e-08,HAS3
ENSG00000179094,4059.452342570617,-0.5823588854238516,0.08788939997819865,-6.626042339216199,3.448063104639846e-11,1.217982922462649e-08,PER1
ENSG00000206075,1152.987769009328,0.7538686860328158,0.11424020639442302,6.598978676824399,4.1399984625416234e-11,1.4249025477614414e-08,SERPINB5
ENSG00000091428,73.68854873215669,-1.9228216089106485,0.29293954449459686,-6.563885433180614,5.242348561084578e-11,1.7592011183859572e-08,RAPGEF4
ENSG00000188549,897.6500753244218,0.8841743414179442,0.1355391027291185,6.5233893659825215,6.873611792238295e-11,2.2503534411515762e-08,CCDC9B
ENSG00000115129,388.86107692707566,1.316241228141222,0.205315076472486,6.410835729920737,1.4472407145585856e-10,4.625312407504737e-08,TP53I3
ENSG00000150347,158.02337834852827,-1.2037534782948076,0.1883782644033384,-6.3900868930262575,1.6579151670926837e-10,5.175394252996534e-08,ARID5B
ENSG00000100647,404.92640394997153,0.832985536213373,0.13074031898656804,6.371298025507739,1.8743501215707368e-10,5.7168580700153105e-08,SUSD6
ENSG00000055163,2345.611995670218,0.7279319606946034,0.11431302461430756,6.367882952538853,1.9165507945369065e-10,5.7168580700153105e-08,CYFIP2
ENSG00000071575,538.0816702735129,-0.814177837504823,0.12891321012655624,-6.315705246231406,2.6893219742775414e-10,7.847558447984225e-08,TRIB2
ENSG00000181722,673.6048671039624,-0.6796211777326474,0.10980615012000104,-6.1892815383284745,6.043905145569945e-10,1.726113590829476e-07,ZBTB20
ENSG00000174307,800.3082395114342,0.6966091352054169,0.11267789904410518,6.182304969431008,6.317233351415436e-10,1.7665879849176954e-07,PHLDA3
ENSG00000188153,1403.525291856747,0.5966893955013373,0.09659437255305049,6.177268713802453,6.522001642264859e-10,1.7866291437575758e-07,COL4A5
ENSG00000169403,170.30988398907934,1.0969209536364992,0.17854316288162023,6.1437298182277225,8.060590573739124e-10,2.1639461454260052e-07,PTAFR
ENSG00000167196,841.0506483781766,0.6152512318954491,0.10046889062919574,6.123798402096223,9.137049115850956e-10,2.379937392644031e-07,FBXO22
ENSG00000186480,1638.7907490814289,-0.6890517814668412,0.11254670004007107,-6.122363260953112,9.219752992437579e-10,2.379937392644031e-07,INSIG1
ENSG00000107957,772.2665733022486,-0.7089206250167709,0.11585114893711468,-6.1192368959722705,9.40245356713588e-10,2.3813044194653757e-07,SH3PXD2A
ENSG00000099194,24226.162879319174,-0.5144225576685152,0.08419286427722356,-6.110049373954847,9.960032169391994e-10,2.4758057742546065e-07,SCD
ENSG00000169126,333.0756391177196,-0.8515261284534764,0.14006370013597177,-6.0795632817555685,1.2051031545711687e-09,2.9411090261470544e-07,ODAD2
ENSG00000132646,2720.4755791981656,0.5074283772118215,0.08445832605681683,6.008032610905219,1.8778807584343996e-09,4.501213110797312e-07,PCNA
ENSG00000138764,1170.1424344820814,-0.7182856882299875,0.11973078408757719,-5.999173008877957,1.9832496648647566e-09,4.6703789914876544e-07,CCNG2
ENSG00000167772,1205.4936597467554,-0.9002394005694149,0.1502338371751813,-5.992254591218914,2.0695159868544545e-09,4.716234584902689e-07,ANGPTL4
ENSG00000165288,1511.7846441917793,-0.5939496984611313,0.09912408463456937,-5.991981672776954,2.0729929263894707e-09,4.716234584902689e-07,BRWD3
ENSG00000235750,2388.5973069978295,-0.6282644347553153,0.10510311879551479,-5.977600302971467,2.264485021995323e-09,5.06603040837387e-07,KIAA0040
ENSG00000167114,785.3150027877849,0.7193729274783662,0.12239390141759873,5.877522647341065,4.164517551095486e-09,9.163986735795853e-07,SLC27A4
ENSG00000110400,1133.6663651173033,0.6149195206826787,0.10471362729426964,5.8723925106195765,4.295502217933823e-09,9.245058970856377e-07,NECTIN1
ENSG00000160818,525.8839977158874,0.7163719409190421,0.122024580805795,5.870718310921018,4.339109849988465e-09,9.245058970856377e-07,GPATCH4
ENSG00000134574,1784.396508565308,0.5843627090624396,0.09994157638689354,5.8470431444893,5.003877545926434e-09,1.0494851296714145e-06,DDB2
ENSG00000185920,315.05331007370427,-0.9215099652517165,0.15897681246820825,-5.796505483691199,6.771097182423204e-09,1.3982836535333334e-06,PTCH1
ENSG00000173535,261.41973590648837,0.9247356958432464,0.16008890029903097,5.7763885823184955,7.632100051242681e-09,1.5522072573913715e-06,TNFRSF10C
ENSG00000172197,526.3352905665843,-0.8349794165337079,0.14576199571889553,-5.728375303971411,1.013970445620021e-08,2.0314216853070955e-06,MBOAT1
ENSG00000143816,543.0555103493982,0.9230060470099843,0.16125587064061073,5.723860119592658,1.0413049661672141e-08,2.044047003919002e-06,WNT9A
ENSG00000065618,369.0275995976537,1.2622091326474287,0.2205760731958336,5.7223302344620315,1.0507281775341663e-08,2.044047003919002e-06,COL17A1
ENSG00000115548,2925.2850806954775,-0.8375283777684656,0.14646520565849047,-5.71827536788028,1.076106537462504e-08,2.046269320855247e-06,KDM3A
ENSG00000187994,988.6538415949891,0.7311300519545703,0.12788051341634685,5.717290558368298,1.0823595454125198e-08,2.046269320855247e-06,RINL
ENSG00000172831,895.2295942774625,0.6818426218552553,0.11959432509467159,5.701295787367039,1.1890011537645413e-08,2.2166614565251996e-06,CES2
